Displaced,Debtor,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units avg enrolled,Curricular units avg approved,Curricular units avg grade,Marital status_Common-law marriage,Marital status_Divorced,Marital status_Married,Marital status_Single,Application mode_1st phase—general contingent,Application mode_1st phase—special contingent (Azores Island),Application mode_1st phase—special contingent (Madeira Island),Application mode_2nd phase—general contingent,Application mode_3rd phase—general contingent,Application mode_Change in course,Application mode_Change in institution/course,Application mode_Holders of other higher courses,Application mode_International student (bachelor),Application mode_Over 23 years old,Application mode_Short cycle diploma holders,Application mode_Technological specialization diploma holders,Application mode_Transfer,Course_Advertising and Marketing Management,Course_Agronomy,Course_Animation and Multimedia Design,Course_Basic Education,Course_Communication Design,Course_Equiniculture,Course_Informatics Engineering,Course_Journalism and Communication,Course_Management,Course_Management (evening attendance),Course_Nursing,Course_Oral Hygiene,Course_Social Service,Course_Social Service (evening attendance),Course_Tourism,Course_Veterinary Nursing,Previous qualification_Basic education 3rd cycle (9th/10th/11th year) or equivalent,Previous qualification_Frequency of higher education,Previous qualification_Higher education—bachelor’s degree,Previous qualification_Higher education—degree,Previous qualification_Higher education—degree (1st cycle),Previous qualification_Other—11th year of schooling,Previous qualification_Professional higher technical course,Previous qualification_Secondary education,Previous qualification_Technological specialization course,Mother's qualification_Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Mother's qualification_Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Mother's qualification_Basic education 1st cycle (4th/5th year) or equiv.,Mother's qualification_Higher Education - Bachelor's Degree,Mother's qualification_Higher Education - Degree,Mother's qualification_Higher Education - Doctorate,Mother's qualification_Higher Education - Master's,Mother's qualification_Other - 11th Year of Schooling,Mother's qualification_Secondary Education - 12th Year of Schooling or Eq.,Mother's qualification_Unknown,Father's qualification_Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Father's qualification_Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Father's qualification_Basic education 1st cycle (4th/5th year) or equiv.,Father's qualification_Higher Education - Bachelor's Degree,Father's qualification_Higher Education - Degree,Father's qualification_Higher Education - Doctorate,Father's qualification_Higher Education - Master's,Father's qualification_Other - 11th Year of Schooling,Father's qualification_Secondary Education - 12th Year of Schooling or Eq.,Father's qualification_Technological specialization course,Father's qualification_Unknown,Mother's occupation_(blank),Mother's occupation_Administrative staff,Mother's occupation_Cleaning workers,"Mother's occupation_Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Mother's occupation_Installation and Machine Operators and Assembly Workers,Mother's occupation_Intermediate Level Technicians and Professions,Mother's occupation_Other Situation,"Mother's occupation_Personal Services, Security and Safety Workers and Sellers","Mother's occupation_Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Mother's occupation_Skilled Workers in Industry, Construction and Craftsmen",Mother's occupation_Specialists in Intellectual and Scientific Activities,Mother's occupation_Student,Mother's occupation_Unskilled Workers,Father's occupation_(blank),Father's occupation_Administrative staff,Father's occupation_Armed Forces Professions,"Father's occupation_Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Father's occupation_Installation and Machine Operators and Assembly Workers,Father's occupation_Intermediate Level Technicians and Professions,Father's occupation_Other Situation,"Father's occupation_Personal Services, Security and Safety Workers and Sellers","Father's occupation_Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Father's occupation_Skilled Workers in Industry, Construction and Craftsmen",Father's occupation_Specialists in Intellectual and Scientific Activities,Father's occupation_Student,Father's occupation_Unskilled Workers,Gender_Female,Gender_Male,Daytime/evening attendance_Daytime,Daytime/evening attendance_Evening,Dropped_out
True,False,True,False,20,0.0,0.0,0.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,1
True,False,False,False,19,6.0,6.0,13.833333334999999,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,0
True,False,False,False,19,6.0,0.0,0.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,1
True,False,True,False,20,6.0,5.5,12.914285715,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0
False,False,True,False,45,6.0,5.5,12.666666665000001,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,0
False,True,True,False,50,5.0,5.0,11.67857143,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,0
True,False,True,True,18,7.5,7.5,13.822500000000002,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
True,False,False,False,22,5.0,0.0,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,1
False,False,True,True,21,6.0,6.0,14.00892857,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0
True,True,False,False,18,6.0,3.5,12.45,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,1
